City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Arraial Do Cabo,-22.9661,-42.0278,78.76,83,40,8.05,BR,2023-01-13 21:35:15
145,Saskylakh,71.9167,114.0833,-58.38,100,74,2.48,RU,2023-01-13 21:35:16
146,Rabak,13.1809,32.74,71.51,21,52,13.65,SD,2023-01-13 21:35:16
147,Dahuk,36.8695,42.994,42.66,47,95,5.35,IQ,2023-01-13 21:35:16
148,Burnie,-41.0667,145.9167,67.95,85,5,14.29,AU,2023-01-13 21:35:17
149,Lisakovsk,52.5369,62.4936,10.62,76,99,12.06,KZ,2023-01-13 21:35:17
150,Mayo,38.8876,-76.5119,47.28,63,100,14.97,US,2023-01-13 21:35:18
151,Pakokku,21.3333,95.1,62.22,42,0,1.28,MM,2023-01-13 21:35:18
152,Hithadhoo,-0.6,73.0833,80.55,68,100,10.07,MV,2023-01-13 21:35:18
153,Kirensk,57.7853,108.1119,1.09,95,100,9.86,RU,2023-01-13 21:35:19
154,Havre-Saint-Pierre,50.2334,-63.5986,24.8,93,100,13.8,CA,2023-01-13 21:35:19
155,Port Blair,11.6667,92.75,75.24,88,40,2.3,IN,2023-01-13 21:35:20
156,Kargil,34.5667,76.1,7.72,96,100,4.23,IN,2023-01-13 21:35:20
157,Cidreira,-30.1811,-50.2056,70.16,90,100,10.4,BR,2023-01-13 21:35:21
158,Primero De Enero,21.9469,-78.4283,80.4,52,14,4.61,CU,2023-01-13 21:35:21
159,Touros,-5.1989,-35.4608,79.56,79,9,14.47,BR,2023-01-13 21:30:54
160,Norman Wells,65.282,-126.8329,-7.56,77,75,3.44,CA,2023-01-13 21:35:22
161,Camargo,27.6667,-105.1667,68.52,15,0,8.21,MX,2023-01-13 21:35:22
162,Campbell River,50.0163,-125.2446,51.6,100,100,5.75,CA,2023-01-13 21:30:30
163,Rengali,21.6333,84.05,58.21,52,0,2.21,IN,2023-01-13 21:35:23
164,Ekhabi,53.5102,142.9671,-19.95,83,12,17.4,RU,2023-01-13 21:35:24
165,Mareeba,-17.0,145.4333,73.44,98,100,3.51,AU,2023-01-13 21:35:24
166,Farah,32.5,62.5,21.78,34,0,1.12,AF,2023-01-13 21:35:24
167,Avdiyivka,48.1399,37.7426,28.85,90,100,8.93,UA,2023-01-13 21:35:25
168,Ostrovnoy,68.0531,39.5131,33.01,87,98,20.36,RU,2023-01-13 21:35:25
169,Barcelos,41.5388,-8.6151,55.54,84,95,5.06,PT,2023-01-13 21:35:26
170,Avera,33.194,-82.5271,49.55,54,65,16.11,US,2023-01-13 21:35:26
171,Itarema,-2.9248,-39.9167,79.61,73,25,13.4,BR,2023-01-13 21:35:27
172,Port Augusta,-32.5,137.7667,92.8,17,4,7.56,AU,2023-01-13 21:35:27
173,Envira,-7.3,-70.2167,76.78,84,98,4.92,BR,2023-01-13 21:35:27
174,Olafsvik,64.8945,-23.7142,28.38,78,100,16.53,IS,2023-01-13 21:35:28
175,Broome,42.2506,-75.833,31.86,86,100,16.11,US,2023-01-13 21:35:28
176,Makat,47.6469,53.3463,16.65,66,0,12.06,KZ,2023-01-13 21:35:29
177,Verkhnyaya Balkariya,43.1279,43.4573,14.92,42,0,9.57,RU,2023-01-13 21:35:29
178,Pevek,69.7008,170.3133,-25.94,99,42,4.14,RU,2023-01-13 21:35:30
179,Ninghai,29.2892,121.4247,60.93,98,100,2.86,CN,2023-01-13 21:35:30
180,Port Alfred,-33.5906,26.891,69.19,90,99,5.91,ZA,2023-01-13 21:35:31
181,Esso,55.9333,158.7,5.85,98,100,3.69,RU,2023-01-13 21:35:31
182,Oyama,36.3,139.8,47.59,48,76,1.66,JP,2023-01-13 21:35:31
183,Kattivakkam,13.2167,80.3167,71.69,70,100,2.08,IN,2023-01-13 21:36:32
184,Pitkyaranta,61.5734,31.4792,31.82,98,100,15.05,RU,2023-01-13 21:36:32
185,Krasnoselkup,65.7,82.4667,-20.54,95,100,12.73,RU,2023-01-13 21:36:33
186,Kirkuk,35.4681,44.3922,49.42,56,100,4.74,IQ,2023-01-13 21:31:47
187,Springdale,36.1867,-94.1288,41.68,58,0,10.36,US,2023-01-13 21:36:33
188,Labuhan,-6.8844,112.2051,76.51,82,85,5.37,ID,2023-01-13 21:36:34
189,Victoria,22.2855,114.1577,72.25,95,31,3.0,HK,2023-01-13 21:34:39
190,Walvis Bay,-22.9575,14.5053,65.35,82,18,3.44,NA,2023-01-13 21:36:34
191,Lorengau,-2.0226,147.2712,83.53,74,100,10.18,PG,2023-01-13 21:36:35
