City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Taksimo,RU,56.3444,114.8794,-21.24,99,100,0.98,overcast clouds
80,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,93,19.37,light rain
81,Pandamatenga,BW,-18.5278,25.627,65.01,93,66,5.97,light rain
82,Ilulissat,GL,69.2167,-51.1,-11.18,58,40,4.61,scattered clouds
83,Tsiroanomandidy,MG,-18.7667,46.0333,64.2,91,95,3.18,overcast clouds
84,Cape Town,ZA,-33.9258,18.4232,75.38,71,71,8.01,broken clouds
85,Benghazi,LY,32.1167,20.0667,60.06,63,0,22.97,clear sky
86,Pangody,RU,65.85,74.4859,-2.27,97,94,11.77,overcast clouds
87,Thompson,CA,55.7435,-97.8558,-0.38,99,98,1.59,overcast clouds
88,Mahebourg,MU,-20.4081,57.7,78.26,84,93,19.46,light rain
89,Kieta,PG,-6.2167,155.6333,83.93,75,100,10.2,light rain
90,Lalibela,ET,12.0333,39.0333,55.09,45,24,5.53,few clouds
91,Saint Anthony,US,45.0205,-93.218,35.53,90,100,9.22,overcast clouds
92,Boa Esperanca,BR,-21.09,-45.5658,69.17,81,55,2.82,broken clouds
93,Larvik,NO,59.0533,10.0352,32.81,100,100,8.05,light snow
94,Tezu,IN,27.9167,96.1667,50.81,84,26,4.09,scattered clouds
95,Pittsburgh,US,40.4406,-79.9959,53.31,90,100,9.22,overcast clouds
96,Grand Forks,US,47.9417,-97.4337,12.13,92,100,13.8,mist
97,Hovd,MN,48.0056,91.6419,6.28,58,97,4.38,overcast clouds
98,Vanderhoof,CA,54.0166,-124.0198,33.06,90,100,7.72,overcast clouds
99,Tasiilaq,GL,65.6145,-37.6368,15.96,76,98,11.23,overcast clouds
100,Isla Vista,US,34.4133,-119.861,62.6,54,20,6.91,few clouds
101,Bluff,NZ,-46.6,168.3333,59.79,70,46,11.77,scattered clouds
102,Agadez,NE,19.75,10.25,55.62,25,1,5.73,clear sky
103,Quzhou,CN,28.9594,118.8686,37.17,85,45,3.53,scattered clouds
104,Yellowknife,CA,62.456,-114.3525,3.34,99,92,5.82,overcast clouds
105,The Pas,CA,53.8251,-101.2541,6.46,97,100,4.97,overcast clouds
106,Vao,NC,-22.6667,167.4833,75.47,70,100,16.64,overcast clouds
107,Russas,BR,-4.9403,-37.9758,78.49,75,77,7.76,broken clouds
108,Cesme,TR,38.3228,26.3064,64.11,55,40,17.27,scattered clouds
109,Ahipara,NZ,-35.1667,173.1667,71.19,61,0,10.29,clear sky
110,Hithadhoo,MV,-0.6,73.0833,80.08,67,53,3.6,broken clouds
111,Aljezur,PT,37.3191,-8.8033,54.3,67,98,25.23,overcast clouds
112,Garowe,SO,8.4054,48.4845,67.28,76,49,10.98,scattered clouds
113,Veinticinco De Mayo,AR,-35.4323,-60.1727,88.75,22,84,12.95,broken clouds
114,San Quintin,MX,30.4833,-115.95,57.2,65,19,19.89,few clouds
115,Necochea,AR,-38.5473,-58.7368,73.35,68,100,13.69,light rain
116,Bendigo,AU,-36.7667,144.2833,74.86,66,100,5.99,moderate rain
117,Lavrentiya,RU,65.5833,-171.0,-21.64,91,29,10.36,scattered clouds
118,Eyl,SO,7.9803,49.8164,73.04,77,87,13.71,overcast clouds
119,Banepa,NP,27.6298,85.5214,41.32,81,20,2.3,mist
120,Mount Isa,AU,-20.7333,139.5,83.97,54,0,11.5,clear sky
121,Beloha,MG,-25.1667,45.05,73.4,79,1,8.99,clear sky
122,Gorakhpur,IN,29.45,75.6833,43.34,27,47,3.2,scattered clouds
123,Tautira,PF,-17.7333,-149.15,80.38,76,19,11.68,few clouds
124,Georgetown,MY,5.4112,100.3354,76.95,73,20,6.91,few clouds
125,Dabrowa Gornicza,PL,50.3182,19.2374,37.04,90,100,8.61,light rain
126,Hennef,DE,50.7756,7.2831,29.8,87,20,3.44,few clouds
127,Cabo San Lucas,MX,22.8909,-109.9124,74.61,63,99,5.01,overcast clouds
128,Traganon,GR,37.8979,21.3124,62.06,77,40,13.8,scattered clouds
129,Palmerston,AU,-12.486,130.9833,84.88,79,99,10.87,moderate rain
130,Oparino,RU,59.8518,48.2783,17.83,94,100,8.72,light snow
